Country,Year,GDP_growth,Unemployment,Inflation
Albania,2010,3.706938153,14.086,3.627100915
Albania,2011,2.545406145,13.481,3.428071301
Albania,2012,1.4172428,13.376,2.031592684
Albania,2013,1.002017541,15.866,1.937620802
Albania,2014,1.774448853,18.055,1.625865044
Albania,2015,2.218726375,17.193,3.501208355
Albania,2016,3.314980684,15.418,-0.36731721
Albania,2017,3.80259872,13.616,2.060598459
Albania,2018,4.019345617,12.304,2.028059631
Albania,2019,2.06256754,11.466,1.41109079
Albania,2020,-3.313716147,11.69,1.620886617
Albania,2021,8.969553392,11.474,2.041471631
Albania,2022,4.826688314,10.137,6.725202715
Albania,2023,3.936625257,10.108,4.759764219
Albania,2024,3.3,10.25,2.214489533
Bosnia and Herzegovina,2010,0.86566926,27.312,1.996212367
Bosnia and Herzegovina,2011,0.959511247,27.582,3.67125
Bosnia and Herzegovina,2012,-0.821836474,28.01,2.05267452
Bosnia and Herzegovina,2013,2.349856663,27.49,-0.093045684
Bosnia and Herzegovina,2014,1.153851092,27.517,-0.897194054
Bosnia and Herzegovina,2015,4.314750611,27.695,-1.036023034
Bosnia and Herzegovina,2016,3.242255212,25.408,-1.5841
Bosnia and Herzegovina,2017,3.244100959,20.527,0.810133322
Bosnia and Herzegovina,2018,3.827499205,18.4,1.41710814
Bosnia and Herzegovina,2019,2.887343344,15.692,0.562782154
Bosnia and Herzegovina,2020,-3.015095148,15.868,-1.051296008
Bosnia and Herzegovina,2021,7.38996234,14.897,1.981639006
Bosnia and Herzegovina,2022,4.226811011,12.657,14.02084408
Bosnia and Herzegovina,2023,2.211124472,10.668,6.105901128
Bosnia and Herzegovina,2024,2.7,10.723,1.692127336
Bulgaria,2010,1.555359635,10.279,2.438990605
Bulgaria,2011,2.09017527,11.26,4.219903466
Bulgaria,2012,0.748814897,12.27,2.954568298
Bulgaria,2013,-0.542751603,12.941,0.890093541
Bulgaria,2014,0.949448985,11.424,-1.418183803
Bulgaria,2015,3.397553259,9.143,-0.104633261
Bulgaria,2016,3.026628931,7.575,-0.798649886
Bulgaria,2017,2.745926447,6.164,2.061596194
Bulgaria,2018,2.549464347,5.211,2.814544738
Bulgaria,2019,3.788850365,4.23,3.103729448
Bulgaria,2020,-3.215737434,5.125,1.672440969
Bulgaria,2021,7.780614814,5.267,3.297744353
Bulgaria,2022,4.038777583,4.268,15.32525893
Bulgaria,2023,1.886814839,4.319,9.442841401
Bulgaria,2024,2.8,4.104,2.44651943
Croatia,2010,-1.334081524,11.62,1.030555053
Croatia,2011,-0.097751453,13.678,2.272727273
Croatia,2012,-2.253745581,15.935,3.412073491
Croatia,2013,-0.125449826,17.251,2.216582064
Croatia,2014,-0.557150197,17.29,-0.21519616
Croatia,2015,2.323175158,16.175,-0.464499005
Croatia,2016,3.461129474,13.103,-1.125
Croatia,2017,3.280958121,11.208,1.129372103
Croatia,2018,2.904681493,8.432,1.50012501
Croatia,2019,3.100439114,6.617,0.771820346
Croatia,2020,-8.311642579,7.507,0.154811375
Croatia,2021,12.63170033,7.608,2.554506996
Croatia,2022,7.287936432,6.96,10.78058068
Croatia,2023,3.302544881,6.086,7.941281776
Croatia,2024,3.8,5.236,3.0
Greece,2010,-5.693741203,12.719,4.712989078
Greece,2011,-9.876779039,17.973,3.329853234
Greece,2012,-8.331133959,24.731,1.501526962
Greece,2013,-2.272116922,27.686,-0.921269454
Greece,2014,0.792225038,26.708,-1.312260964
Greece,2015,-0.228301959,24.981,-1.735888048
Greece,2016,-0.031795213,23.514,-0.825653978
Greece,2017,1.473124985,21.413,1.12125452
Greece,2018,2.064672533,19.179,0.625621413
Greece,2019,2.277180636,17.045,0.253007522
Greece,2020,-9.196231471,15.899,-1.247983556
Greece,2021,8.654497853,14.656,1.22382501
Greece,2022,5.74364919,12.426,9.645259813
Greece,2023,2.332123883,11.066,3.464801285
Greece,2024,2.2,10.133,2.741490458
Kosovo,2010,4.93995096,45.4,3.480507637
Kosovo,2011,6.319810229,40.0,7.336417713
Kosovo,2012,1.712195959,30.879,2.476737822
Kosovo,2013,5.340799119,29.767,1.767324284
Kosovo,2014,3.348804784,35.264,0.428957808
Kosovo,2015,5.916231283,32.84,-0.536929393
Kosovo,2016,5.571775047,27.491,0.273169431
Kosovo,2017,4.825655653,30.344,1.488234306
Kosovo,2018,3.406632271,27.761,1.053797737
Kosovo,2019,4.75680057,25.069,2.675992026
Kosovo,2020,-5.340275478,25.459,0.198227923
Kosovo,2021,10.74565608,20.392,3.353691392
Kosovo,2022,4.278498958,12.093,11.58051045
Kosovo,2023,4.067627014,10.7,4.944324388
Kosovo,2024,4.4,10.8,1.619449946
Montenegro,2010,2.734331082,19.649,0.65494657
Montenegro,2011,3.228451021,19.759,3.450143112
Montenegro,2012,-2.723790771,19.808,4.14524725
Montenegro,2013,3.548979912,19.585,2.205892681
Montenegro,2014,1.783698581,18.054,-0.710514052
Montenegro,2015,3.390381397,17.555,1.548691582
Montenegro,2016,2.949280321,17.732,-0.271385023
Montenegro,2017,4.716465276,16.082,2.380235991
Montenegro,2018,5.077888811,15.19,2.611223783
Montenegro,2019,4.062944992,15.128,0.361563705
Montenegro,2020,-15.30689376,17.878,-0.2556557
Montenegro,2021,13.04346425,16.543,2.410801984
Montenegro,2022,6.406680329,14.851,13.04030363
Montenegro,2023,6.337697542,14.621,8.584769105
Montenegro,2024,3.0,14.1,3.336750093
North Macedonia,2010,3.358750858,33.135,1.50997522
North Macedonia,2011,2.339886045,31.502,3.904754221
North Macedonia,2012,-0.456183224,31.096,3.316055667
North Macedonia,2013,2.925257665,29.017,2.785000567
North Macedonia,2014,3.629123513,28.215,-0.281705033
North Macedonia,2015,3.85586514,26.395,-0.299920476
North Macedonia,2016,2.848205194,24.312,-0.239290788
North Macedonia,2017,1.081772738,22.857,1.351618897
North Macedonia,2018,2.88059671,21.208,1.458312985
North Macedonia,2019,3.910419538,17.414,0.766439573
North Macedonia,2020,-4.68845001,16.575,1.200073489
North Macedonia,2021,4.51067949,15.801,3.230749121
North Macedonia,2022,2.758884153,14.476,14.20471732
North Macedonia,2023,2.072749779,13.174,9.361872498
North Macedonia,2024,2.8,13.417,3.48974086
Romania,2010,-3.905811573,6.959,6.091416686
Romania,2011,4.495589099,7.177,5.789253288
Romania,2012,1.903616968,6.794,3.334922677
Romania,2013,0.278771877,7.096,3.984712355
Romania,2014,4.116001093,6.802,1.068309877
Romania,2015,3.157036054,6.812,-0.594156437
Romania,2016,2.859932523,5.901,-1.544796668
Romania,2017,8.195478266,4.927,1.339021211
Romania,2018,6.120930007,4.187,4.625484431
Romania,2019,3.92326385,3.912,3.827854326
Romania,2020,-3.674384409,5.035,2.631073112
Romania,2021,5.545709626,5.59,5.052328761
Romania,2022,3.965307663,5.614,13.79548874
Romania,2023,2.404271779,5.589,10.39718748
Romania,2024,3.3,5.379,-4.519110142
Serbia,2010,1.610972661,19.204,6.142553602
Serbia,2011,0.054272479,22.959,11.13739763
Serbia,2012,-0.443956029,24.0,7.330385896
Serbia,2013,0.451578763,22.154,7.694263629
Serbia,2014,-1.804270248,19.223,2.082447939
Serbia,2015,1.295738512,17.66,1.39235822
Serbia,2016,2.975197792,15.257,1.122313974
Serbia,2017,2.363393787,13.477,3.131062486
Serbia,2018,4.649350355,12.733,1.959840763
Serbia,2019,4.750207939,10.395,1.849229845
Serbia,2020,-0.950023992,9.011,1.575532901
Serbia,2021,7.949056505,9.843,4.085102853
Serbia,2022,2.630986444,8.439,11.98151173
Serbia,2023,3.847471128,8.268,12.37190436
Serbia,2024,3.9,7.39,4.670529749
Slovenia,2010,1.112137416,7.236,1.801170221
Slovenia,2011,0.655439912,8.166,1.802851719
Slovenia,2012,-2.915538603,8.841,2.59741386
Slovenia,2013,-0.823777238,10.103,1.769200859
Slovenia,2014,2.762831643,9.668,0.199343827
Slovenia,2015,2.393308724,8.962,-0.525552286
Slovenia,2016,3.034413954,8.0,-0.054999542
Slovenia,2017,5.17440454,6.564,1.429107433
Slovenia,2018,4.379081716,5.108,1.73860862
Slovenia,2019,3.505251668,4.446,1.630522608
Slovenia,2020,-4.084998153,4.971,-0.054856816
Slovenia,2021,8.389650321,4.744,1.917065061
Slovenia,2022,2.699237557,4.011,8.833698867
Slovenia,2023,2.112591843,3.652,7.446877174
Slovenia,2024,1.6,3.357,1.965626564
