Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.06256754,-3.313716147,8.969553392,4.826688314,3.936625257,3.3
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.555359635,2.09017527,0.748814897,-0.542751603,0.949448985,3.397553259,3.026628931,2.745926447,2.549464347,3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839,2.8
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.334081524,-0.097751453,-2.253745581,-0.125449826,-0.557150197,2.323175158,3.461129474,3.280958121,2.904681493,3.100439114,-8.311642579,12.63170033,7.287936432,3.302544881,3.8
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.693741203,-9.876779039,-8.331133959,-2.272116922,0.792225038,-0.228301959,-0.031795213,1.473124985,2.064672533,2.277180636,-9.196231471,8.654497853,5.74364919,2.332123883,2.2
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.93995096,6.319810229,1.712195959,5.340799119,3.348804784,5.916231283,5.571775047,4.825655653,3.406632271,4.75680057,-5.340275478,10.74565608,4.278498958,4.067627014,4.4
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.734331082,3.228451021,-2.723790771,3.548979912,1.783698581,3.390381397,2.949280321,4.716465276,5.077888811,4.062944992,-15.30689376,13.04346425,6.406680329,6.337697542,3
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.358750858,2.339886045,-0.456183224,2.925257665,3.629123513,3.85586514,2.848205194,1.081772738,2.88059671,3.910419538,-4.68845001,4.51067949,2.758884153,2.072749779,2.8
Romania,ROU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.905811573,4.495589099,1.903616968,0.278771877,4.116001093,3.157036054,2.859932523,8.195478266,6.120930007,3.92326385,-3.674384409,5.545709626,3.965307663,2.404271779,3.3
Slovenia,SVN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.112137416,0.655439912,-2.915538603,-0.823777238,2.762831643,2.393308724,3.034413954,5.17440454,4.379081716,3.505251668,-4.084998153,8.389650321,2.699237557,2.112591843,1.6
Serbia,SRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.610972661,0.054272479,-0.443956029,0.451578763,-1.804270248,1.295738512,2.975197792,2.363393787,4.649350355,4.750207939,-0.950023992,7.949056505,2.630986444,3.847471128,3.9
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,2.211124472,2.7
