Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108,10.25
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,27.312,27.582,28.01,27.49,27.517,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.668,10.723
Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.23,5.125,5.267,4.268,4.319,4.104
Croatia,HRV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.62,13.678,15.935,17.251,17.29,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.086,5.236
Kosovo,XKX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,45.4,40,30.879,29.767,35.264,32.84,27.491,30.344,27.761,25.069,25.459,20.392,12.093,10.7,10.8
Montenegro,MNE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.649,19.759,19.808,19.585,18.054,17.555,17.732,16.082,15.19,15.128,17.878,16.543,14.851,14.621,14.1
North Macedonia,MKD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,33.135,31.502,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174,13.417
Romania,ROU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.589,5.379
Serbia,SRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.204,22.959,24,22.154,19.223,17.66,15.257,13.477,12.733,10.395,9.011,9.843,8.439,8.268,7.39
Slovenia,SVN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.236,8.166,8.841,10.103,9.668,8.962,8,6.564,5.108,4.446,4.971,4.744,4.011,3.652,3.357
Greece,GRC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.719,17.973,24.731,27.686,26.708,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.066,10.133
